Running on host gpu011
Using 8 Julia threads
Starting at Thu Apr  2 10:27:30 CEST 2026
Loading Modules
Finished Loading Modules
Running Lux_AE_train.jl

Training AE for 1000 epochs with λdiv=1000.0, λcurl=100.0)
Epoch 66/1000 | time=1.391s | train_loss=1.2289 | train_corr=(0.568, 0.234) | val_loss=1.2102 | val_corr=(0.575, 0.228) | test_loss=1.2071 | test_corr=(0.574, 0.231)
Epoch 67/1000 | time=1.395s | train_loss=1.2098 | train_corr=(0.573, 0.234) | val_loss=1.2274 | val_corr=(0.574, 0.229) | test_loss=1.2245 | test_corr=(0.573, 0.232)
Epoch 68/1000 | time=1.39s | train_loss=1.193 | train_corr=(0.581, 0.242) | val_loss=1.2172 | val_corr=(0.575, 0.229) | test_loss=1.2141 | test_corr=(0.574, 0.233)
Epoch 69/1000 | time=1.406s | train_loss=1.2203 | train_corr=(0.58, 0.229) | val_loss=1.2157 | val_corr=(0.574, 0.231) | test_loss=1.213 | test_corr=(0.574, 0.234)
Epoch 70/1000 | time=1.396s | train_loss=1.2023 | train_corr=(0.582, 0.232) | val_loss=1.2219 | val_corr=(0.574, 0.23) | test_loss=1.2188 | test_corr=(0.574, 0.233)
Epoch 71/1000 | time=1.382s | train_loss=1.1762 | train_corr=(0.59, 0.241) | val_loss=1.2029 | val_corr=(0.576, 0.23) | test_loss=1.2001 | test_corr=(0.575, 0.234)
Epoch 72/1000 | time=1.395s | train_loss=1.2031 | train_corr=(0.577, 0.23) | val_loss=1.1961 | val_corr=(0.576, 0.231) | test_loss=1.1933 | test_corr=(0.576, 0.234)
Epoch 73/1000 | time=1.386s | train_loss=1.2451 | train_corr=(0.579, 0.234) | val_loss=1.2148 | val_corr=(0.575, 0.233) | test_loss=1.212 | test_corr=(0.574, 0.235)
Epoch 74/1000 | time=1.4s | train_loss=1.1986 | train_corr=(0.577, 0.247) | val_loss=1.2746 | val_corr=(0.574, 0.232) | test_loss=1.2717 | test_corr=(0.574, 0.234)
Epoch 75/1000 | time=1.395s | train_loss=1.2181 | train_corr=(0.578, 0.229) | val_loss=1.2269 | val_corr=(0.576, 0.231) | test_loss=1.224 | test_corr=(0.575, 0.234)
Epoch 76/1000 | time=1.396s | train_loss=1.1942 | train_corr=(0.576, 0.233) | val_loss=1.2219 | val_corr=(0.574, 0.232) | test_loss=1.219 | test_corr=(0.574, 0.235)
Epoch 77/1000 | time=1.405s | train_loss=1.201 | train_corr=(0.573, 0.222) | val_loss=1.2189 | val_corr=(0.576, 0.233) | test_loss=1.2164 | test_corr=(0.575, 0.236)
Epoch 78/1000 | time=1.377s | train_loss=1.1967 | train_corr=(0.581, 0.226) | val_loss=1.1847 | val_corr=(0.576, 0.234) | test_loss=1.182 | test_corr=(0.576, 0.236)
